source;target
BigAlphaID;gwyntheophillia
detikcom;Divinidili
Predator___id;AnakLolina2
detikcom;AEPishere
realAbikaTrader;silo_bagendit
detikfinance;keilyn888
BigAlphaID;Moonddai
BigAlphaID;santihuit
BigAlphaID;FitFeb__
BigAlphaID;_anotherthings
BigAlphaID;trianlesmana19
BigAlphaID;badriainun
detikcom;FandhyAria
detikcom;diskasoebagyo
detikfinance;Divinidili
BigAlphaID;ulinmn
BigAlphaID;surahminovitasa
detikcom;citapraasada
detikcom;SenaAryananda
detikcom;ekaputra_reza
detikcom;ririesmart28
BigAlphaID;tarapsodi
detikfinance;FathinHamdala
runturambi_w;aLyBenzema17
BigAlphaID;delkodeeel
BigAlphaID;sugarhighgirl
detikcom;KokoAja4
kompascom;dordinhoo_
BigAlphaID;rizkyarmaann
detikcom;puteripermata27
BigAlphaID;mahfud9110
detikcom;aliandobogor77
BigAlphaID;HafizYusaryahya
BigAlphaID;Brunowicaksono
detikcom;BrinoMilanista
BigAlphaID;grantkrezinov
BigAlphaID;arikwj_
BigAlphaID;azzurafarh
detikcom;bagusprisandhy
BigAlphaID;AriLapar
detikfinance;AyuLest25497073
cnbcindonesia;TitikTerangNews
kumparan;tegarcamspeed
BigAlphaID;k_hans69
BigAlphaID;timmymalachi
detikcom;4MIN_W
BigAlphaID;imalredyours
detikcom;ferdian_d
BigAlphaID;chocovple
BigAlphaID;helmaputri_
detikcom;mfachrip_
detikcom;citapraasada
BigAlphaID;alvyandanadit
BigAlphaID;buluketekkriswu
detikcom;ichaelza
BigAlphaID;hanaly_
detikcom;det_detha
KontanNews;sisca_gd
CNNIndonesia;ChristWamea
detikcom;RVSA_241219
BigAlphaID;Fathul_Patoel
detikcom;ice_crystalrose
BigAlphaID;moontwinnie
detikcom;derrybocon
CNNIndonesia;albert40382
BigAlphaID;danaedeanedo
CNNIndonesia;ryolandafit
BigAlphaID;langkahkhafier
BigAlphaID;sepupumeimei
BigAlphaID;cheewcat
BigAlphaID;gegluduk
detikcom;Elfadhiylla
BigAlphaID;de2via
BigAlphaID;adamts10
CNNIndonesia;Amy_Eteek
detikcom;ukhentut
detikfinance;realllllkicorn
detikcom;hanif_fuad
BigAlphaID;matchaaaaa_lisy
BigAlphaID;felinoire
detikcom;Fitrawan_A
detikcom;johan_teruna
detikfinance;leomatangkin
AlbertSolo2;AlbertSolo2
BigAlphaID;tajagiguls
BigAlphaID;taufiqaf
detikcom;kiasleo
detikcom;asyabalnurz
BigAlphaID;yuvilia_cwati
kompascom;soter_manalu
BigAlphaID;Layung_surya
BigAlphaID;Erol_Gtm
BigAlphaID;namyatheanns
BigAlphaID;Karinnarin
BigAlphaID;felixjio
BigAlphaID;agustinusamson
detikcom;Pembangkang_
BigAlphaID;duddurru
LBhagawanta;Vikri_97
detikcom;dma_ariyani
BigAlphaID;hilmanoo
BigAlphaID;TheBookIRead2
BigAlphaID;suryatama__
BigAlphaID;bonaventuraezra
BigAlphaID;aanazief
detikcom;pratamasupriya1
runturambi_w;djadasjah
runturambi_w;Sagemuly
detikcom;ridhokbr
BigAlphaID;yugacas
BigAlphaID;tuteh_
cnbcindonesia;UltramenMuda
BigAlphaID;onedha93
BigAlphaID;faridauliar
BigAlphaID;AhmadRizkyM
cnbcindonesia;nalundo_
BigAlphaID;suburbianfellow
detikfinance;ChristGreato
BigAlphaID;aldyan4fs
detikcom;ryolandafit
detikfinance;Dwicahyono273
BigAlphaID;gintingardi_
runturambi_w;Asli_Serbalawan
detikfinance;marzuqi_mar
runturambi_w;integrity160171
BigAlphaID;Yourdaydream_
detikfinance;van_toft
BigAlphaID;Kesultananfjr
CNNIndonesia;AdinaArjun
BigAlphaID;seimpairiyun
detikcom;DestahandraR
realAbikaTrader;Adell1ne
BigAlphaID;bemiwa
detikcom;KBlitary
BigAlphaID;fransiskapdewi
runturambi_w;g1LaNg_coffee
CNNIndonesia;Pemersatubngs
jowangshin;anggithidayah
detikcom;mesyaanf_
detikcom;aregita33
detikcom;IbnuFuad12
_Wiwis_Mbecak;YongL4dy
BigAlphaID;hndyadtya
detikfinance;TheBookIRead2
AchsanulQosasi;TaufiqFuadi
BigAlphaID;dahliu
detikcom;bellaangln
cnbcindonesia;madeferry
BigAlphaID;LinduFajar_
kompascom;devnhas
detikcom;KikieRebel
indoinsidenews;arksaputra
BigAlphaID;metalillness_
BigAlphaID;Christocrat_
BigAlphaID;arielehsanr
BigAlphaID;boldowenso
BigAlphaID;azharsatriag
idtodayco;ChristWamea
BigAlphaID;harmita_
detikcom;ryolandafit
BigAlphaID;ciyacitra
BigAlphaID;kendydanangp
BigAlphaID;ramarsha
detikcom;ginadi_edwin
BigAlphaID;willypps
idtodayco;Taufiq_fr11
BigAlphaID;L333SS
BigAlphaID;ab645an
BigAlphaID;evamaerv
Predator___id;NannyAlexendry
BigAlphaID;clumsynessa
BigAlphaID;yogi_triyadi
BigAlphaID;Mhrs_Fahmi
BigAlphaID;IdhamKFahmi
BigAlphaID;WardanaSiregar
BigAlphaID;andikaPAP
_Wiwis_Mbecak;EdisonSihombi15
BigAlphaID;happyteruss
cnbcindonesia;arahim_les
detikcom;nkhrnisa
BigAlphaID;Dikashirliana
detikcom;FionaSusanty
detikfinance;eknug
BigAlphaID;iceteaboba_
detikcom;Kvnskmaa
BigAlphaID;abeyees
My_LoveNebe;dergrosenjoe135
BigAlphaID;ffkkre
BigAlphaID;rezarebor
BigAlphaID;azulfik
SilumanRi;Rianti_9
detikcom;sendysuwanto
catuaries;iniozan
BigAlphaID;frdhasya
detikcom;MhdRachwi_RTG
CNNIndonesia;FachruRezky
kompasiana;kompascom
detikcom;ninimahrus25
detikcom;Rian_Herdian17
BigAlphaID;Gadang_Guram
BigAlphaID;gabrieladipr
detikfinance;adriynd
republikaonline;faridaintan_
BigAlphaID;dilZakky
BigAlphaID;9Fu0o
BigAlphaID;Stunninggurlll
BigAlphaID;octavianadias
BigAlphaID;inhnx
BigAlphaID;sovifarnola
BigAlphaID;KerbauCokelat
My_LoveNebe;AnakLolina2
detikfinance;0718mia_
runturambi_w;DontcryindoKid
BigAlphaID;indahhhpees
BigAlphaID;irradiationnn
BigAlphaID;Njmjn
detikcom;Rayhan76581528
detikcom;LenaliliL
detikfinance;asaipsari
BigAlphaID;winata46
BigAlphaID;cloudslovelyy
BigAlphaID;JustOktry
BigAlphaID;ilhmjtnk
BigAlphaID;rmdhnerry
cagubnyinyir2;abdul_charim
catuaries;dnrhmslwu
BigAlphaID;Benzky
BigAlphaID;AditioL
idtodayco;elan_kaula
detikcom;dodi_ahmad07
BigAlphaID;_chamaemelum
detikfinance;Mawar_Ningtias
BigAlphaID;NightberryRose
BigAlphaID;nikahajalah
BigAlphaID;HanifAhdan
detikcom;PradiptaArya4
detikcom;gintingniaa
detikcom;vick37890
BigAlphaID;kalyanakretya
Danstauber2;EzzyKenzaki
BigAlphaID;notgurlcrush
BigAlphaID;dianadiadiaa
detikcom;RatnaRa22101002
detikfinance;riskiidap
BigAlphaID;Angopiq_
BigAlphaID;jpmorganID
runturambi_w;ArmanHlp
kompascom;IbswTeam
zoelfick;fadholaa
runturambi_w;Hendrik40972122
BigAlphaID;handi_hambow
detikfinance;SuvAdin
BigAlphaID;mixreversible
realAbikaTrader;Generasi_2000
Predator___id;DiniHrdianti
BigAlphaID;Serendeepidy
BigAlphaID;gemmyputri_
BigAlphaID;Panji_lelono
detikcom;aridesuka
BigAlphaID;rizqaafn
BigAlphaID;mgssalim21
BigAlphaID;merputh
runturambi_w;jaya1perkasa
BigAlphaID;ssstttttfft
Danstauber2;__muhfajar
BigAlphaID;AndriawanFaizal
detikcom;andithedarjooos
BigAlphaID;nidyafadhilah1
BigAlphaID;rizqibennington
detikcom;Nuraji19am
idtodayco;CepOmes
BigAlphaID;akupezi
