date;price;open;high;low
2019-03-29;3,95;3,88;3,97;3,88
2019-03-28;3,89;3,82;3,91;3,81
2019-03-27;3,82;3,84;3,84;3,81
2019-03-26;3,82;3,78;3,82;3,78
2019-03-25;3,77;3,73;3,79;3,72
2019-03-22;3,82;3,8;3,82;3,79
2019-03-21;3,8;3,8;3,81;3,77
2019-03-20;3,78;3,81;3,82;3,75
2019-03-19;3,78;3,8;3,82;3,77
2019-03-18;3,83;3,77;3,83;3,76
2019-03-15;3,74;3,72;3,76;3,71
2019-03-14;3,73;3,72;3,76;3,71
2019-03-13;3,73;3,73;3,77;3,7
2019-03-12;3,8;3,8;3,82;3,73
2019-03-11;3,77;3,78;3,82;3,76
2019-03-08;3,74;3,81;3,82;3,74
2019-03-06;3,82;3,86;3,88;3,82
2019-03-05;3,87;3,89;3,89;3,82
2019-03-04;3,85;3,91;3,91;3,85
2019-03-01;3,91;3,89;3,92;3,88
2019-02-28;3,86;3,88;3,9;3,84
2019-02-27;3,91;3,9;3,94;3,89
2019-02-26;3,93;3,92;3,93;3,88
2019-02-25;3,91;3,9;3,92;3,85
2019-02-22;3,84;3,87;3,87;3,82
2019-02-21;3,87;3,87;3,89;3,86
2019-02-20;3,87;3,94;3,94;3,83
2019-02-19;3,92;3,93;3,94;3,9
2019-02-18;3,9;3,83;3,92;3,83
2019-02-15;3,79;3,77;3,8;3,73
2019-02-14;3,74;3,79;3,81;3,74
2019-02-13;3,79;3,84;3,85;3,78
2019-02-12;3,82;3,9;3,91;3,8
2019-02-11;3,93;3,87;3,94;3,86
2019-02-08;3,85;3,81;3,85;3,81
2019-02-07;3,86;3,89;3,89;3,83
2019-02-06;3,86;3,82;3,87;3,82
2019-02-04;3,78;3,89;3,89;3,78
2019-02-01;3,87;3,91;3,93;3,83
2019-01-31;3,9;3,9;3,92;3,87
2019-01-30;3,86;3,85;3,89;3,83
2019-01-29;3,84;3,78;3,85;3,78
2019-01-28;3,78;3,88;3,89;3,73
2019-01-25;3,88;3,88;3,93;3,84
2019-01-24;3,86;3,9;3,91;3,83
2019-01-23;3,92;3,95;3,98;3,92
2019-01-22;4;4;4,01;3,93
2019-01-21;4,03;4,04;4,05;4,02
2019-01-18;4,02;4,01;4,02;3,97
2019-01-17;3,99;3,97;3,99;3,96
2019-01-16;3,99;3,94;4;3,92
2019-01-15;3,93;3,86;3,93;3,85
2019-01-14;3,85;3,81;3,85;3,79
2019-01-11;3,86;3,82;3,86;3,8
